"Country","Model","Train_MAPE","Horizon_1_3_MAPE","Horizon_1_5_MAPE","Horizon_Full_MAPE"
"Austria","ARIMA",0.00226616926006888,0.0159359547007414,0.0231903958206276,0.0635352892172168
"Austria","ETS",0.00327847090087912,0.0172986045934166,0.026120011502582,0.0724559290966041
"Austria","Theta",0.0110208073176263,0.014329487392601,0.0216920061385276,0.0625762406729673
"Austria","NNAR",0.00154001852063456,0.0132667880596015,0.0167174248027917,0.0428580227981831
"Austria","ARFIMA",0.00254769177162587,0.0090582891781063,0.010235224101042,0.0175904771536078
"Austria","GP",0.0000000000000016861848675421,0.0417203378498151,0.0658334439478627,0.13707992550301
"Austria","GAM",0.00548426694172755,0.0214076060882008,0.0237137147565966,0.0199676138944733
"Belgium","ARIMA",0.00135332935562633,0.00745595841925884,0.012228208221807,0.0162413109491015
"Belgium","ETS",0.00233793836563738,0.00864970573414568,0.0128309195018735,0.0284616001181775
"Belgium","Theta",0.00723986071370633,0.0240048296277273,0.0344721307967772,0.0690755899748591
"Belgium","NNAR",0.00827689209164709,0.0220556092858884,0.0314540642732401,0.0615622637332295
"Belgium","ARFIMA",0.00135941518089771,0.00110875753579276,0.000952285591190494,0.0109905670453235
"Belgium","GP",0.00000000000000131214650440789,0.00448162418420252,0.0149784005909367,0.0899961895410199
"Belgium","GAM",0.00401474734658584,0.029543006551316,0.039190096566984,0.0706973093268964
"Denmark","ARIMA",0.0014410191860271,0.00787299308023283,0.017200556992381,0.0534922100428989
"Denmark","ETS",0.00224970629336954,0.00508837576511974,0.0128474550828221,0.0430204446462745
"Denmark","Theta",0.00651539828403886,0.0237450134666798,0.0301128989446493,0.0545156044168406
"Denmark","NNAR",0.00151659716718047,0.00247315696514003,0.0042033094988847,0.0185954671986692
"Denmark","ARFIMA",0.0020130142664157,0.00871447246143781,0.0166668087894698,0.0173838729195534
"Denmark","GP",0.000000000000000497145260490814,0.00442679715728351,0.0133399745633348,0.0778825930015695
