"Country","Model","Train_MAPE","Horizon_1_3_MAPE","Horizon_1_5_MAPE","Horizon_Full_MAPE"
"Austria","ARIMA",0.0809818089966746,0.0456435914066944,0.0970583985161912,0.134554381439104
"Austria","ETS",0.0510909257601877,0.0445322544085451,0.0949835590804505,0.128768312216038
"Austria","Theta",0.0868140486013734,0.0275700951517656,0.0683863375051763,0.0722715916555438
"Austria","NNAR",0.0846206205762894,0.0141164617761887,0.029450575980582,0.0542019248411356
"Austria","ARFIMA",1.01367985981446,0.190732266296363,0.20494498429038,0.30676898069099
"Austria","GP",0.000000000000000396885345455785,0.0177852290063869,0.0275559462654903,0.0316836107367369
"Austria","GAM",0.156030122784691,0.222286725783075,0.331236371784335,0.544476813441289
"Belgium","ARIMA",0.0707408959524471,0.036264102754285,0.0870378020609608,0.117438851549042
"Belgium","ETS",0.0548167281413964,0.0372518697909689,0.0310095333283585,0.0974416299129683
"Belgium","Theta",0.101477263075911,0.00258857791130438,0.0416901185616695,0.0578543241383148
"Belgium","NNAR",0.0455357884315204,0.152648337576347,0.265265590434099,0.780712686210991
"Belgium","ARFIMA",0.0798023780198101,0.0192533351040193,0.0301899526822082,0.0732494051544612
"Belgium","GP",0.000000000000000426292671665852,0.0506801463557528,0.0436540672246505,0.0447271204458693
"Belgium","GAM",0.148654296842156,0.196647446254474,0.300646093229224,0.483599359854696
"Denmark","ARIMA",0.0659463439294879,0.0720362012066951,0.1230140286056,0.147182898133272
"Denmark","ETS",0.0507061595834008,0.0111734356925292,0.0501537899865897,0.0626082139891284
"Denmark","Theta",0.0982954948215093,0.00771183050702769,0.0432672736623364,0.0616670452443107
"Denmark","NNAR",0.0625897308633151,0.0204604331875086,0.030778061344687,0.0684525119646874
"Denmark","ARFIMA",0.813959546565171,0.202507282923524,0.218803178446296,0.32624609706954
"Denmark","GP",0.000000000000000506785151596605,0.0206082165073238,0.0282925063305322,0.0449640017592039
"Denmark","GAM",0.133588740631604,0.178092694406031,0.271860786133107,0.430243606304415
"Finland","ARIMA",0.0792359272328437,0.0523178056528389,0.102429708576378,0.146080821064884
"Finland","ETS",0.0579900244138645,0.0398964200642707,0.078170308289957,0.0812800156424834
"Finland","Theta",0.0964167235278422,0.0414938004621813,0.0806702084612047,0.0867577315345291
"Finland","NNAR",0.0607705476173292,0.00719186139892287,0.0278785075428112,0.0460165319287637
"Finlad","ARFIMA",0.450325552037743,0.152376812746369,0.172214351937842,0.279730016848699
"Finland","GP",0.000000000000000378136887323736,0.0197820316770503,0.0305395450421036,0.0373425244180267
"Finland","GAM",0.139093725320316,0.193036288378701,0.281088182583118,0.440197486373722
"France","ARIMA",0.0584515614276722,0.0992444137786106,0.159392740999899,0.232575429234752
"France","ETS",0.0486176269158165,0.0483727491078146,0.100286317671163,0.144575176465539
"France","Theta",0.0945909235157036,0.0422380925897317,0.0905716465619175,0.122721787094514
"France","NNAR",0.0506808005609867,0.0399191605241051,0.0311501854236033,0.0401771089335614
"France","ARFIMA",0.676950038790307,0.164707231943518,0.171708141792882,0.254225065859199
"France","GP",0.000000000000000438707977703839,0.0328837968356051,0.0589212048087581,0.0931858710149541
"France","GAM",0.128671220394836,0.224091962816645,0.335656744766625,0.572112065704525
"Germany","ARIMA",0.0756218890548239,0.0809957641293543,0.124182886325039,0.14872849448462
"Germany","ETS",0.0533757684440811,0.113360959079952,0.192210281392186,0.342024714859584
"Germany","Theta",0.0874148076058267,0.0220237017173661,0.05095795645564,0.0481609153686867
"Germany","NNAR",0.0464531203244865,0.00853653575449401,0.0267057829465674,0.0534588851918564
