"Country","Model","Train_MAPE","Horizon_1_3_MAPE","Horizon_1_5_MAPE","Horizon_Full_MAPE"
"Austria","ARIMA",0.00122196324269233,0.00167362556673605,0.00137288808275568,0.00196916905568598
"Austria","ETS",0.00111547525935204,0.00193775513908346,0.00171127640374926,0.00216750298076563
"Austria","Theta",0.0043156835560079,0.00114198529495786,0.000917017763004706,0.0017183899681606
"Austria","NNAR",0.00112330870061418,0.00151393648222621,0.0023205356706009,0.00467208913208269
"Austria","ARFIMA",0.0125347019654559,0.0174140609381643,0.0214882690131492,0.0280565919056409
"Austria","GP",0.0000000000000000156110153745977,0.0028644071658063,0.00356694116117718,0.00560224841016067
"Austria","GAM",0.000886720445128462,0.00195088930872061,0.00225028394613346,0.00284824648038421
"Belgium","ARIMA",0.00257291482290463,0.00429294466815125,0.00576525044611832,0.00646424149575281
"Belgium","ETS",0.00214962316799057,0.00655842331592361,0.00915720110082292,0.0123572723172839
"Belgium","Theta",0.00494159740485901,0.00353186501930799,0.00462873825095261,0.00487596608511032
"Belgium","NNAR",0.00113392201340794,0.00548940267479345,0.00790531151906178,0.0109217002666137
"Belgium","ARFIMA",0.002213133391955,0.00492843137027484,0.00728675214067681,0.010394339264455
"Belgium","GP",0.00000000000000000513421672505159,0.00579449425826981,0.00940450356040974,0.0157399642496671
"Belgium","GAM",0.00117925757829128,0.00557865191809829,0.00753740600113277,0.00920552143445817
"Denmark","ARIMA",0.00302579557723983,0.00446110714421427,0.00623744529621919,0.0109208356426436
"Denmark","ETS",0.00305779274243658,0.00480746165171147,0.00675550988997105,0.0117799853076563
"Denmark","Theta",0.00504947822325078,0.00284361870626522,0.00256771677091314,0.00201315020100462
"Denmark","NNAR",0.00157049935799806,0.0452268160496887,0.0720838951701188,0.0837953770025745
"Denmark","ARFIMA",0.00363820562157757,0.0030826844361559,0.00255981489818648,0.00278005999683944
"Denmark","GP",0,0.00612990663493385,0.00835712336539643,0.0137126808217833
"Denmark","GAM",0.00197236730986752,0.0115086208242039,0.0159300696509131,0.0258696857516923
"Finland","ARIMA",0.00314859212597612,0.0062227691771512,0.00898400957958038,0.0150129485125377
"Finland","ETS",0.00309220859265186,0.00537130760863889,0.00786071100587756,0.0133494129912074
"Finland","Theta",0.0063282579124417,0.00143230877186112,0.00182151796348466,0.00313781838464553
"Finland","NNAR",0.000924874383661044,0.0139109776031107,0.0153622591036177,0.0258168935322997
"Finlad","ARFIMA",0.00444272689504942,0.00500515956133153,0.00426109944492915,0.00340758436985386
"Finland","GP",0,0.0119692959781781,0.016927661299906,0.0251084424885223
"Finland","GAM",0.00216467481467807,0.00190636642051175,0.00338528431982349,0.00732114621047878
"France","ARIMA",0.00286424704980142,0.00319130147339926,0.004655581740718,0.00980774081115886
"France","ETS",0.00257881546271105,0.00242093091010418,0.00392584547578325,0.00508615262991606
"France","Theta",0.00533830065359196,0.00187065154315096,0.00290247376669656,0.00321206930985884
"France","NNAR",0.00245093614549505,0.00351761745508464,0.00572942482648891,0.00843550079128578
"France","ARFIMA",0.00391162012243358,0.00353165758060505,0.00674014177598162,0.012037235306185
"France","GP",0,0.00349267867348991,0.00549933816867186,0.0114936168435011
"France","GAM",0.00148803276314613,0.00278115968678474,0.00369504257496234,0.00775233822926071
"Germany","ARIMA",0.00199367379067216,0.00299725014445135,0.00381749279214138,0.00603989926823853
"Germany","ETS",0.00153673900841744,0.00287946080061707,0.00338320045372629,0.00433538559676769
"Germany","Theta",0.0052699197725948,0.00269716559930452,0.00323418921501653,0.00497224969559308
"Germany","NNAR",0.00142812959556635,0.00158974542714148,0.00252761173819622,0.00472453322424721
"Germany","ARFIMA",0.00351411530194156,0.00220493458112608,0.00338269186486006,0.00614008423132494
"Germany","GP",0,0.00704249839399279,0.0106216181614877,0.0187536066773331
"Germany","GAM",0.000986278288197058,0.00401669665244353,0.00568243290349971,0.0090688945279679
"Ireland","ARIMA",0.00496644936867306,0.0076053378464962,0.00983172348122727,0.0118689074716662
"Ireland","ETS",0.00497122884297934,0.0110392392092964,0.0144701632809888,0.0188912017369535
"Ireland","Theta",0.00907043358207699,0.00497686628185873,0.00591614449677496,0.00540853377779954
"Ireland","NNAR",0.00354103874766476,0.0169725336178601,0.0219006765091992,0.029701473289995
"Ireland","ARFIMA",0.00783002407459865,0.0118229566676475,0.017406233856731,0.0280957115221869
"Ireland","GP",0.0000000000000000331163441412633,0.00344661171985576,0.00303752459903052,0.0118577617491058
"Ireland","GAM",0.00281690027980248,0.0101998545069342,0.0132460118679812,0.016906184517225
"Italy","ARIMA",0.00216396672986062,0.00367493687118837,0.00761442672018649,0.0140742237693641
"Italy","ETS",0.00215419910993185,0.00392756656746479,0.00827550991638245,0.0155437766850893
"Italy","Theta",0.00538698635619086,0.00189316933679361,0.00173257422791435,0.00277175782424357
"Italy","NNAR",0.00152094796767374,0.00288765929959736,0.00660957971161852,0.0127258301900976
"Italy","ARFIMA",0.00239306468324623,0.00542780859696872,0.0111136555572464,0.0219161018814804
"Italy","GP",0.0000000000000000317221517046593,0.00293402327489271,0.00355664436053721,0.00930255347149638
"Italy","GAM",0.00101392714305546,0.00225720034878806,0.00602492316339222,0.0121449756027587
"Luxembourg","ARIMA",0.00338774012764173,0.0133105912880891,0.0200525109179145,0.0299092434898147
"Luxembourg","ETS",0.00336033248145226,0.0135319568995543,0.0203846243310073,0.0304605855395741
"Luxembourg","Theta",0.00625159354642487,0.00868342049840404,0.0116384188145703,0.0148568648592019
"Luxembourg","NNAR",0.00310416680738754,0.00831030491874958,0.0104294375092816,0.0108598141025086
"Luxembourg","ARFIMA",0.00548430166661595,0.00876531740853868,0.0104962665413111,0.00846514297409703
"Luxembourg","GP",0,0.0156470313095027,0.0227554947235059,0.0326557178001184
