"Country","Model","Train_MAPE","Horizon_1_3_MAPE","Horizon_1_5_MAPE","Horizon_Full_MAPE"
"Austria","ARIMA",0.00150075670823682,0.00326676195793635,0.00877063946719901,0.0248853801507327
"Austria","ETS",0.0017951774101482,0.00519418965123522,0.0122126110102698,0.0361845212743233
"Austria","Theta",0.00381747334990728,0.0068349896281019,0.0140917727630353,0.0368336577661626
"Austria","NNAR",0.00264889970347465,0.00424747968390581,0.0106992120654725,0.032813118283527
"Austria","ARFIMA",0.00167197709391353,0.00544557903814797,0.0128114320939601,0.0395710761816074
"Austria","GP",0.0000000000000000207578042884335,0.00735977254744914,0.0152890425387136,0.0359254792171102
"Austria","GAM",0.002761881537124,0.00543223225149445,0.00490854109856915,0.00946530817434491
"Belgium","ARIMA",0.00139717036030789,0.0129501049189539,0.0203265670718281,0.0489169927338864
"Belgium","ETS",0.00144891584528171,0.0129319765252612,0.020064047685623,0.0447355202122432
"Belgium","Theta",0.00419506576762511,0.00934829181297922,0.0131754764651001,0.0278734368146713
"Belgium","NNAR",0.00206348805400204,0.0140201316738326,0.0235469369331523,0.0499993528623706
"Belgium","ARFIMA",0.0112515246190332,0.0456987989609189,0.0556286001431268,0.0848979483492672
"Belgium","GP",0.00000000000000020152490598347,0.00687427359549602,0.00766458530225109,0.020330064182069
"Belgium","GAM",0.00135734713721355,0.00348524880388986,0.00687385044693304,0.0210031169479893
"Denmark","ARIMA",0.000993762716066153,0.00159570385766969,0.00171728266661549,0.00477426405048572
"Denmark","ETS",0.00103928574115753,0.000898601639295988,0.00191956739976143,0.0100097035077787
"Denmark","Theta",0.00453960848394091,0.00478864565269852,0.00898705213096588,0.0254355906989849
"Denmark","NNAR",0.000962246072653886,0.000532748020179184,0.00291768565383888,0.0178932352197755
"Denmark","ARFIMA",0.0137195403744046,0.0316872297483597,0.0412142134751762,0.0714156208794895
"Denmark","GP",0.000000000000000124825256881503,0.00268648252046309,0.00266799353202644,0.0137110473602639
"Denmark","GAM",0.000941099185029494,0.000326144090182522,0.00133210412817155,0.00618118117332265
"Finland","ARIMA",0.000966129792596167,0.00180402814668282,0.0021612478992704,0.00354504281718255
"Finland","ETS",0.00122871756885779,0.00224303950884151,0.00333613510157475,0.00581108126412613
"Finland","Theta",0.00460895029501533,0.00607090605836759,0.0082737568683387,0.0117597050475413
"Finland","NNAR",0.00146709830615305,0.00274378654956064,0.0048470128257042,0.0105367787162423
"Finlad","ARFIMA",0.0152517047297891,0.0347666038507921,0.0429474497742159,0.0627576467561986
"Finland","GP",0,0.00361048996414066,0.00478540725930994,0.00341794950396298
"Finland","GAM",0.00135661218010293,0.000352932957166971,0.00123269894161269,0.00992941408570637
"France","ARIMA",0.000564854961957042,0.0002895835597439,0.000896097312274642,0.00585835867085913
"France","ETS",0.000609123818552943,0.000603535582172033,0.000687595012826261,0.00296699168049856
"France","Theta",0.0070157037355651,0.00487577551530021,0.00629661015376487,0.0099683156190064
"France","NNAR",0.000793392200655813,0.00425455528674096,0.00647391325063318,0.0166993869881563
"France","ARFIMA",0.0240101990127184,0.0467471503858514,0.0570747508001864,0.0847799091525802
"France","GP",0.0000000000000000630498102431071,0.0000669091667558343,0.000830263811964069,0.00448039521748786
"France","GAM",0.00107006826773313,0.00310591231253169,0.00480962480624666,0.0133788416292284
"Germany","ARIMA",0.00880598375113149,0.00393890554124356,0.00952079402246388,0.0246696997318718
