Reference area,TIME_PERIOD,OBS_VALUE,,
Austria,1993,3.958333,,
Austria,1994,4.241667,,TRUE
Austria,1995,4.241667,,TRUE
Austria,1996,4.733333,,TRUE
Austria,1997,4.733333,,TRUE
Austria,1998,4.725,,TRUE
Austria,1999,4.15,,TRUE
Austria,2000,3.933333,,TRUE
Austria,2001,3.983333,,TRUE
Austria,2002,4.383333,,TRUE
Austria,2003,4.758333,,TRUE
Austria,2004,5.891667,,TRUE
Austria,2005,6.033333,,TRUE
Austria,2006,5.641667,,TRUE
Austria,2007,5.216667,,TRUE
Austria,2008,4.441667,,TRUE
Austria,2009,5.666667,,TRUE
Austria,2010,5.191667,,TRUE
Austria,2011,4.9,,TRUE
Austria,2012,5.191667,,TRUE
Austria,2013,5.725,,TRUE
Austria,2014,6.033333,,TRUE
Austria,2015,6.15,,TRUE
Austria,2016,6.45,,TRUE
Austria,2017,5.925,,TRUE
Austria,2018,5.208333,,TRUE
Austria,2019,4.841667,,TRUE
Austria,2020,6.025,,TRUE
Austria,2021,6.2,,TRUE
Austria,2022,4.758333,,TRUE
Austria,2023,5.108333,,TRUE
Austria,2024,5.175,,TRUE
Belgium,1983,10.74167,,FALSE
Belgium,1984,10.8,,TRUE
Belgium,1985,10.10833,,TRUE
Belgium,1986,10.03333,,TRUE
Belgium,1987,9.8,,TRUE
Belgium,1988,8.8,,TRUE
Belgium,1989,7.383333,,TRUE
Belgium,1990,6.55,,TRUE
Belgium,1991,6.441667,,TRUE
Belgium,1992,7.091667,,TRUE
Belgium,1993,8.625,,TRUE
Belgium,1994,9.75,,TRUE
Belgium,1995,9.675,,TRUE
Belgium,1996,9.541667,,TRUE
Belgium,1997,9.216666,,TRUE
Belgium,1998,9.341666,,TRUE
Belgium,1999,8.4,,TRUE
Belgium,2000,6.875,,TRUE
Belgium,2001,6.591667,,TRUE
Belgium,2002,7.525,,TRUE
Belgium,2003,8.175,,TRUE
Belgium,2004,8.391666,,TRUE
Belgium,2005,8.433333,,TRUE
Belgium,2006,8.25,,TRUE
Belgium,2007,7.483333,,TRUE
Belgium,2008,6.975,,TRUE
Belgium,2009,7.991667,,TRUE
Belgium,2010,8.375,,TRUE
Belgium,2011,7.216667,,TRUE
Belgium,2012,7.633333,,TRUE
Belgium,2013,8.55,,TRUE
Belgium,2014,8.65,,TRUE
Belgium,2015,8.65,,TRUE
Belgium,2016,7.85,,TRUE
Belgium,2017,7.1,,TRUE
Belgium,2018,5.958333,,TRUE
Belgium,2019,5.366667,,TRUE
Belgium,2020,5.541667,,TRUE
Belgium,2021,6.275,,TRUE
Belgium,2022,5.575,,TRUE
Belgium,2023,5.525,,TRUE
Belgium,2024,5.7,,TRUE
Denmark,1983,8.366667,,FALSE
Denmark,1984,7.916667,,TRUE
Denmark,1985,6.658333,,TRUE
Denmark,1986,4.991667,,TRUE
Denmark,1987,5.033333,,TRUE
Denmark,1988,5.658333,,TRUE
Denmark,1989,6.816667,,TRUE
Denmark,1990,7.175,,TRUE
Denmark,1991,7.85,,TRUE
Denmark,1992,8.6,,TRUE
Denmark,1993,9.55,,TRUE
Denmark,1994,7.7,,TRUE
Denmark,1995,6.716667,,TRUE
Denmark,1996,6.333333,,TRUE
Denmark,1997,5.241667,,TRUE
Denmark,1998,4.866667,,TRUE
Denmark,1999,5.166667,,TRUE
Denmark,2000,4.325,,TRUE
Denmark,2001,4.525,,TRUE
Denmark,2002,4.583333,,TRUE
Denmark,2003,5.408333,,TRUE
Denmark,2004,5.5,,TRUE
Denmark,2005,4.841667,,TRUE
Denmark,2006,3.908333,,TRUE
Denmark,2007,3.75,,TRUE
Denmark,2008,3.683333,,TRUE
Denmark,2009,6.408333,,TRUE
Denmark,2010,7.75,,TRUE
Denmark,2011,7.758333,,TRUE
Denmark,2012,7.783333,,TRUE
Denmark,2013,7.375,,TRUE
